formula,2Dpfx,2Dpfy,area,CBM_GW,CBM_HSE06,CBM,Dgap_gw,Dgap_HSE06,Dgap_WSOC,Dgap,EBE,Eng,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM_HSE06,VBM,VL,VBM_HSE06-VL,CBM_HSE06-VL,TDSL
Fe2O3Se1Te3,4.507216111,7.686618889,30.77354833,-0.825747542,-1.319594444,-2.471228095,3.211295556,2.485399167,1.849329167,1.446186667,1.165055,-46.68552667,2.693616667,2.466721111,1.991573333,-3.678899333,-4.391255,-4.24187,2.755727619,-7.146982619,-4.075322063,3.0
Fe2O3Se2Te2,3.94599,6.341955556,29.50056667,-0.787243097,-1.254356667,-2.619887619,4.119744444,3.235186667,2.008876833,2.011255,1.371888333,-48.88148111,3.77022,3.46329,2.023736667,-4.717801333,-5.660225,-4.575688333,2.198009524,-7.858234524,-3.45236619,3.0
Fe2O3Se3Te1,4.024650556,6.925285,28.54431667,-0.779623639,-1.288761667,-2.647163333,3.392408889,3.000463333,1.971960167,2.056566667,1.262856667,-48.95742222,2.817733333,3.078071667,2.277591667,-3.941659333,-4.499154167,-4.558836111,2.455199524,-6.95435369,-3.74396119,3.0
Fe2O4Se1Te2,3.701790556,6.312278333,28.142595,-0.912503,-1.502328889,-2.772188571,4.206795556,3.548445833,2.030144833,1.883821667,1.493615,-50.21754037,3.850643333,3.706322222,2.072829167,-5.027017333,-5.81428125,-4.507775,2.12905619,-7.94333744,-3.631385079,3.0
Fe2O4Se2Te1,3.517308333,6.276343889,26.14528,-1.042681306,-1.640569444,-3.03668,4.213886111,3.769965833,2.201215833,2.22583,1.496726667,-51.05028037,3.898553333,3.960011667,2.339954167,-5.110608667,-5.948143333,-4.673716667,2.10297,-8.051113333,-3.743539444,3.0
Fe2O5Se1Te1,3.385038889,6.343825556,24.96854,-1.491759153,-2.280947778,-3.47017,4.384855556,3.599005,2.2133595,2.400465,1.492795,-52.72342296,4.1079,3.935852778,2.357064167,-5.499283333,-6.146696667,-5.108853889,1.98848619,-8.135182857,-4.269433968,3.0
Fe2S1Se1Te5,5.9044505,8.555949444,38.529925,-0.193812792,-1.19998,-1.434120238,2.181227222,1.284936667,0.9637446,0.734391667,0.60039,-36.52012167,1.97851,1.333653333,0.921800167,-2.345834667,-2.564209792,-2.303672222,3.289518571,-5.853728363,-4.489498571,3.0
Fe2S1Se2Te4,5.976879111,8.579153889,37.41827,-0.225553292,-1.186462222,-1.447987143,2.215084444,1.384685833,1.030205267,0.822815,0.59308,-37.41509333,2.01431,1.331588333,0.928011833,-2.364321333,-2.557743125,-2.321405556,3.332692381,-5.890435506,-4.519154603,3.0
Fe2S1Se3Te3,5.678128556,8.616577222,35.53227,-0.293051375,-1.127412222,-1.48998381,2.267133889,1.546689167,1.037320867,0.820468333,0.621841111,-37.89906278,2.17476,1.406555,1.003244333,-2.399413333,-2.787440625,-2.521677222,3.289538571,-6.076979196,-4.416950794,3.0
Fe2S1Se4Te2,5.581450556,8.060993333,35.763655,-0.289365667,-1.093848889,-1.617554762,2.423707778,1.8173375,1.163798933,1.004541667,0.759222778,-38.85597278,2.21935,1.647996667,1.160726417,-2.501902,-3.01234125,-2.812405556,2.963001905,-5.975343155,-4.056850794,3.0
Fe2S1Se5Te1,5.600074444,7.976813333,34.96528,-0.330920194,-1.123806111,-1.602320952,2.503291667,1.919181667,1.202059933,1.07354,0.773650556,-40.43293722,2.26414,1.701040556,1.13495375,-2.62798,-3.005527708,-2.952803333,2.985264762,-5.99079247,-4.109070873,3.0
Fe2S2Se1Te4,5.831034111,8.508957222,36.508105,-0.272674208,-1.148838889,-1.433306667,2.241985556,1.462853333,1.0621526,0.87482,0.615184444,-37.67297889,1.94476,1.348811667,0.957411833,-2.325769333,-2.618726042,-2.352637778,3.327782381,-5.946508423,-4.47662127,3.0
Fe2S2Se2Te3,5.746950222,8.156281667,37.02851,-0.262945847,-1.009155556,-1.49183381,2.2276,1.666779167,1.079080867,0.848395,0.658763333,-38.65490667,2.00968,1.478622778,1.001433083,-2.382284667,-2.734740417,-2.549630556,3.350802952,-6.085543369,-4.359958508,3.0
Fe2S2Se3Te2,5.502831111,7.85024,34.91278,-0.325738458,-1.059774444,-1.628688095,2.482815556,1.879925833,1.181041933,1.012108333,0.774468333,-40.52660333,2.16278,1.70734,1.14086975,-2.578806,-3.045473958,-2.895946667,2.926917143,-5.972391101,-3.986691587,3.0
