formula,2Dpfx,2Dpfy,area,CBM_GW,CBM_HSE06,CBM,Dgap_gw,Dgap_HSE06,Dgap_WSOC,Dgap,EBE,Eng,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM_HSE06,VBM,VL,VBM_HSE06-VL,CBM_HSE06-VL,TDSL
Mn2O1S3Te3,4.898145833,7.938561667,31.34787333,-0.501437361,-1.146011667,-2.010555714,3.403568889,2.259014167,1.551271,1.330666667,0.939222778,-44.79112222,2.95383,1.937273333,1.501150833,-3.507238,-3.36631125,-3.262055,3.12828,-6.49459125,-4.274291667,3.0
Mn2O1Se2Te4,4.918067222,7.577929444,38.25169667,-0.403972153,-1.18506,-1.90879619,2.867065556,1.882455,1.399219833,1.20465,0.879261667,-40.77027148,2.63518,1.664628889,1.333585833,-2.968359333,-3.022668333,-2.847035,3.166264286,-6.188932619,-4.351324286,3.0
Mn2O1Se3Te3,4.826471944,7.825806111,36.87176667,-0.433903194,-1.190946667,-1.994002857,2.972093889,2.0842525,1.418023667,1.27967,0.868755,-41.86594352,2.71747,1.712862778,1.3715775,-3.158448667,-3.191313333,-3.119006111,3.107749048,-6.299062381,-4.298695714,3.0
Mn2O1Se4Te2,4.628999722,7.322238333,34.76806167,-0.434501819,-1.26048,-2.152395714,3.275574444,2.3370625,1.579360667,1.43385,0.940385,-43.08337222,2.91576,2.096407222,1.3448375,-3.394076667,-3.492677083,-3.279873333,2.602683333,-6.095360417,-3.863163333,3.0
Mn2O1Se5Te1,4.717674167,7.362615,32.58892667,-0.420523694,-1.329413333,-2.22488619,3.438164444,2.467138333,1.584679,1.517406667,0.961012222,-44.94576278,2.98768,2.131308889,1.452125833,-3.570858667,-3.52968375,-3.389178333,2.663447619,-6.193131369,-3.992860952,3.0
Mn2O2Se1Te4,4.939689444,7.535539444,36.51651167,-0.530565875,-1.224405,-1.945352381,3.469762222,2.14198,1.533947333,1.403841667,0.965940556,-42.50769926,2.88796,1.816676667,1.467413333,-3.161989333,-3.2794125,-3.038455556,3.14057381,-6.41998631,-4.36497881,3.0
Mn2S1Se2Te4,5.243851389,8.307201111,37.451565,-0.287477639,-1.03024,-1.685180952,2.387369444,1.243224167,1.2183605,0.933891667,0.573811111,-36.7648037,2.093806667,1.289518333,1.178341,-2.496771333,-2.504567917,-2.341423889,3.36645381,-5.871021726,-4.39669381,3.0
Mn2S1Se3Te3,5.150539722,8.302405,35.1872,-0.301430556,-0.966171667,-1.721240476,2.422298333,1.4331275,1.2415585,0.983053333,0.586467778,-37.58599056,2.166766667,1.362496667,1.209595167,-2.648409333,-2.583353333,-2.550080556,3.325979048,-5.909332381,-4.292150714,3.0
Mn2S1Se4Te2,4.861205278,7.994438889,35.03836,-0.309553306,-1.110916667,-1.909481905,2.534054444,1.755576667,1.332134333,1.216313333,0.699952778,-38.03769722,2.283786667,1.493294444,1.227418333,-2.864640667,-2.782050208,-2.794878889,2.92798,-5.710030208,-4.038896667,3.0
Mn2S1Se5Te1,4.842879167,7.731558889,34.16457,-0.314813556,-1.12125,-1.944951905,2.676761111,1.866458333,1.382500333,1.17304,0.725686111,-38.55355333,2.402986667,1.522088333,1.304320833,-2.915688,-2.851217292,-2.934409444,2.923525714,-5.774743006,-4.044775714,3.0
