Formula,Area of unit-cell
Cr3C2H2O2,7.849
Cr3C2O2,7.23
Cr3MoS8,32.974
Cr3MoSe8,36.4
Cr3MoTe8,42.264
Cr3N2,6.316
Cr3N2O2,6.558
Cr3Te4,13.809
Cr3WS8,33.052
Cr3WSe8,36.476
Cr3WTe8,42.363
Cr4C3,7.508
Cr4C3F2,7.766
Cr4C3H2O2,7.863
Cr4C3O2,7.287
Cr4F2N3,7.84
Cr4H2N3O2,7.927
Cr4N3,7.965
Cr4N3O2,7.522
CrAs2,7.5015
CrAsSb,8.42
CrBr2,13.312
CrBrCl,11.679
CrBrI,13.224499999999999
CrCl2,12.021333333333333
CrClI,12.687000000000001
CrF2,7.224
CrGa2S4,12.014
CrGa2Se4,13.299
CrH2,5.544
CrH2O2,9.46
CrHO2,8.016
CrI2,15.312666666666667
CrLi2,5.88
CrMo3S8,34.464
CrMo3Se8,37.631
CrMo3Te8,43.195
CrMoF6,24.839
CrNbF6,31.912
CrO2,7.625666666666667
CrS2,9.685
CrSSe,8.516
CrSTe,9.3405
CrSb2,8.9985
CrSe2,10.731333333333334
CrSeTe,9.7105
CrTe2,13.097999999999999
CrW3S8,34.579
CrW3Se8,37.7
CrW3Te8,43.312
Cs2Br2,49.37
Cs2C2F6O6S2,33.09
Cs2C6N6Se6,48.503
Cs2Cl2,45.42
Cs2F2,33.331
Cs2F2H6O6P2,24.147
CsC2I3N2,29.482
CsF2,25.609
CsO2,19.196
Cu2As4Cl2S3,43.965
Cu2Br2,14.2535
Cu2Br2C4H4N2,32.87
Cu2Br2N2,12.429
Cu2Br2O2,12.533
Cu2Br2S2,16.346
Cu2Br2S4,36.454
Cu2Br2Se2,17.29
Cu2Br2Se4,39.328
Cu2Br2Te4,43.795
Cu2Br6,38.271
Cu2C2Cl2O2,18.665
Cu2C2N4,27.851
Cu2C4H4O8,66.901
Cu2C6H8I2N2,38.332
Cu2Cl2,13.404499999999999
Cu2Cl2N2,12.031
Cu2Cl2O2,12.271
Cu2Cl2S2,15.85
Cu2Cl2Se2,16.926
Cu2Cl2Se4,38.581
Cu2Cl2Te4,42.854
Cu2Cl6,33.968999999999994
Cu2F2,10.093499999999999
Cu2F4,18.038
Cu2Ge2O6,26.244
Cu2H4O10Se2,51.08
Cu2Hg2Cl2Se2,29.299
Cu2I2,16.0215
Cu2I2N2,12.259
Cu2I2O2,12.918
Cu2I2S2,16.624
Cu2I2S4,37.521
Cu2I2Se2,17.84
Cu2I2Se4,40.397
Cu2I2Te4,45.531
Cu2I4,27.255
Cu2I4O12,42.267
Cu2I6,43.31
Cu2MoO4,41.289
Cu2MoSe4,31.256
Cu2MoTe4,33.919
Cu2O12Sb4,52.721
