Formula,Valence band maximum (HSE06)
Hf3TiS8,-3.505
Hf3TiSe8,-2.624
Hf3TiTe8,-1.258
Hf3ZrS8,-3.561
Hf3ZrSe8,-2.751
Hf3ZrTe8,-1.351
HfBr2,0.484
HfBrCl,0.384
HfBrI,0.929
HfCl2,0.157
HfClI,0.717
HfH2,-1.719
HfH2O2,-0.887
HfI2,1.147
HfMnI6,-3.148
HfNa2H6O6,-6.114
HfNiCl6,-5.16
HfO2,-6.077333333333333
HfS2,-3.735
HfSSe,-2.7375
HfSTe,-1.0265
HfSe2,-2.821
HfSeTe,-1.095
HfTe2,-2.0625
HfTi3S8,-3.469
HfTi3Se8,-2.417
HfTi3Te8,-1.107
HfZr3S8,-3.576
HfZr3Se8,-2.79
HfZr3Te8,-1.431
Hg2Br2,-2.117
Hg2Cl2,-2.288
Hg2I2,-2.431
Hg2P2S6,-3.072
Hg2P2Se6,-2.365
Hg2P2Te6,-1.383
Hg2Pt4Se6,-2.458
Hg2Se2,-2.746
Hg2Te2,-2.0605
Hg3B2O6,-7.249
Hg4I8,-5.45
Hg4Mo2O8,-5.853
Hg4W2O8,-5.479
HgBr2,-4.938
HgCl2,-5.906666666666666
HgF2,-8.066
HgH2O2,-3.802
HgH2S2,-4.645
HgI2,-3.3616666666666664
HgO,-3.971
HgS,-4.01
HgSe,-3.869
HgTe,-3.27
I2Sb2,-1.651
I6Sb2,-3.494
ISSb,-2.5845000000000002
ISbSe,-2.4
ISbTe,-2.049
In2Br2,-2.416
In2Br2O2,-4.133
In2Br2S2,-3.731
In2Br2Se2,-3.202
In2Br6,-5.2935
In2Cl2,-3.3645
In2Cl2O2,-5.11
In2Cl2S2,-3.88
In2Cl2Se2,-3.306
In2Cl6,-6.432499999999999
In2F2,-2.731
In2I2,-2.4835000000000003
In2I2O2,-2.11
In2I2S2,-2.902
In2I2Se2,-2.831
In2I6,-3.5925
In2O2,-3.001
In2P2S6,-2.41
In2S2,-2.819
In2S4,-3.098
In2Se2,-3.03
In2Si2Te6,-3.332
In2Te2,-1.7445
In2Te4,-3.635
In2Te5,-3.575
In2ZnS4,-3.039
In4Br4Te4,-5.175
In4Br8,-4.516
In4I4Te4,-4.64
InAs,-3.285
InLiI4O12,-5.743
InN,-3.54
InNaI4O12,-6.328
InP,-3.556
InSb,-2.813
Ir2Br2O2,-1.112
