Formula,Band gap
V2H4O10Se2,0.892
V2I2,0.0125
V2I6,0.007
V2O10P2,1.566
V2O5,1.356
V2S2,0.0428
V2Se2,0.0514
V2Te2,0.09
V4F12O4,3.465
V4O10,1.8863333333333332
V4O8,0.304
VBr2,0.41733333333333333
VBr2O,0.385
VBrCl,0.6445
VBrI,0.594
VCl2,0.45133333333333336
VCl2O,0.403
VClI,0.55
VI2,0.40066666666666667
VS2,0.009333333333333334
VSSe,0.0065
VSe2,0.08266666666666667
VSeTe,0.06
VTe2,0.07133333333333333
W2Br6,0.199
W2Cl4O4,2.187
W2Cl6,0.5965
W2H4O8,0.726
W2I6,0.46399999999999997
W2O12Sb4,1.745
W2O2,0.017666666666666667
W2P2S6,0.007
W2Se4,0.032
WO2,0.4466666666666667
WOS,1.503
WOSe,1.244
WOTe,0.537
WS2,0.5113333333333333
WSSe,0.701
WSTe,0.6715
WSe2,0.4126666666666667
WSeTe,0.5185
WTe2,0.24233333333333332
Y2Br6,3.7915
Y2CF2,1.117
Y2CH2O2,0.456
Y2Cl2O2,4.395
Y2Cl2O4,0.367
Y2Cl6,4.766500000000001
Y2F2,0.031
Y2I6,2.665
Y3N2O2,0.245
YBr2,0.11466666666666665
YCl2,0.12466666666666666
YI2,0.04733333333333333
Zn2As4O8,3.605
Zn2Cl4O6Sb4,3.264
Zn2Ge2O6,2.745
Zn2H4O8Se2,4.452
Zn2H8N4Te2,1.822
Zn2I2,1.0455
Zn2O6Si2,3.402
Zn2P2S6,2.086
Zn2P2Se6,1.307
Zn2P2Te6,0.591
Zn2S2,1.2785
Zn2S4,1.693
Zn2Se2,1.2209999999999999
Zn2Se4,1.382
Zn2Te2,0.2725
Zn2Te4,0.959
Zn4Cl4O4,0.139
ZnB2C8N8,5.164
ZnBr2,3.012
ZnC4N6,5.039
ZnCl2,4.033333333333334
ZnF2,4.425
ZnH2O2,2.333
ZnI2,1.6926666666666668
Zr2Br2,0.01125
Zr2Br2N2,1.717
Zr2Br4,0.58
Zr2CO2,0.95
Zr2Cl2,0.009
Zr2Cl2N2,1.8860000000000001
Zr2Cl4,0.611
Zr2Ge2Te8,0.522
Zr2I2N2,0.6940000000000001
Zr2I4,0.423
Zr2O6,3.586
Zr2P2S6,0.759
Zr2P2Se6,0.394
Zr2S2,0.0264
Zr2S6,1.182
Zr2Se2,0.0158
Zr2Se6,0.41
Zr2Te10,0.191
Zr2Te2,0.14279999999999998
Zr3C2F2S2,0.02
Zr3C2O2,0.382
Zr3F2N2O2,0.899
Zr3N2O2,0.401
ZrBr2,0.27599999999999997
ZrBrCl,0.456
ZrBrI,0.387
ZrCl2,0.327
ZrClI,0.4385
ZrH2O6P2,4.28
ZrI2,0.229
ZrO2,3.502333333333333
ZrS2,1.3506666666666665
ZrSSe,0.721
ZrSTe,0.104
ZrSe2,0.8406666666666668
ZrSeTe,0.131
ZrTe2,0.34900000000000003
