Formula,Thermodynamic stability level
Cs2C2F6O6S2,3.0
Cs2C6N6Se6,1.0
Cs2Cl2,3.0
Cs2F2,3.0
Cs2F2H6O6P2,3.0
CsC2I3N2,1.0
CsF2,3.0
CsO2,1.0
Cu2As4Cl2S3,3.0
Cu2Br2,3.0
Cu2Br2C4H4N2,3.0
Cu2Br2N2,1.0
Cu2Br2O2,3.0
Cu2Br2S2,2.0
Cu2Br2S4,3.0
Cu2Br2Se2,3.0
Cu2Br2Se4,3.0
Cu2Br2Te4,3.0
Cu2Br6,3.0
Cu2C2Cl2O2,3.0
Cu2C2N4,1.0
Cu2C4H4O8,2.0
Cu2C6H8I2N2,3.0
Cu2Cl2,3.0
Cu2Cl2N2,1.0
Cu2Cl2O2,3.0
Cu2Cl2S2,3.0
Cu2Cl2Se2,3.0
Cu2Cl2Se4,3.0
Cu2Cl2Te4,3.0
Cu2Cl6,2.5
Cu2F2,2.0
Cu2F4,3.0
Cu2Ge2O6,3.0
Cu2H4O10Se2,3.0
Cu2Hg2Cl2Se2,3.0
Cu2I2,3.0
Cu2I2N2,1.0
Cu2I2O2,3.0
Cu2I2S2,1.0
Cu2I2S4,3.0
Cu2I2Se2,3.0
Cu2I2Se4,3.0
Cu2I2Te4,3.0
Cu2I4,3.0
Cu2I4O12,3.0
Cu2I6,1.0
Cu2MoO4,3.0
Cu2MoSe4,3.0
Cu2MoTe4,3.0
Cu2O12Sb4,3.0
Cu2O2,3.0
Cu2O4S,3.0
Cu2O6Si2,3.0
Cu2P2S6,3.0
Cu2P2Se6,3.0
Cu2P2Te6,1.0
Cu2PtC6N8,1.0
Cu2ReBr6,3.0
Cu2ReCl6,3.0
Cu2ReF6,3.0
Cu2ReI6,3.0
Cu2S,1.0
Cu2S2,2.6666666666666665
Cu2S4,3.0
Cu2S4Sb2,3.0
Cu2Sb2Se4,3.0
Cu2Se2,2.2
Cu2Se4,3.0
Cu2Sr2,1.0
Cu2Te2,2.2
Cu2Te4,1.0
Cu2WO4,3.0
Cu2WS4,3.0
Cu2WSe4,3.0
Cu2WTe4,3.0
Cu3O4P,3.0
Cu4Cl4H4O4,3.0
Cu4Cl4O4,3.0
Cu4F4H4O4,3.0
Cu4Li2V2O12,3.0
Cu4O12Te2,3.0
Cu4O12Te4,3.0
CuBr,3.0
CuBr2,2.6666666666666665
CuC6H4N6O2,2.0
CuCl2,2.6666666666666665
CuF2,3.0
CuH2,1.0
CuH2O2,3.0
CuI2,2.3333333333333335
CuInP2Se6,3.0
CuLi2,1.0
CuLi2O2,3.0
CuO2,1.3333333333333333
CuS2,1.0
CuSe2,1.0
CuSr2Br2O2,3.0
CuSr2Br2S2,3.0
CuSr2Cl2O2,3.0
CuSr2Cl2S2,3.0
CuSr2I2O2,3.0
CuSr2I2S2,3.0
CuTe2,1.0
CuV2O6,3.0
F2Ge,2.0
F2Ge2,3.0
F2Sb,2.0
F2Sb2,2.0
F2Si2,3.0
Fe2Br2,2.0
Fe2Br2N2,1.0
Fe2Br2O2,3.0
Fe2Br6,3.0
Fe2Cl2,2.0
Fe2Cl2O2,3.0
Fe2Cl6,3.0
Fe2F2,2.5
Fe2F2O2,3.0
Fe2Ga2S5,3.0
Fe2H2O4,2.0
Fe2I2,1.0
Fe2I2O2,3.0
Fe2I2S2,3.0
Fe2I6,3.0
Fe2In2Se5,3.0
Fe2Li2As2,3.0
Fe2Li2P2,3.0
Fe2Li2Sb2,3.0
Fe2Mg2Ge2,1.0
Fe2Mg2Si2,2.0
Fe2Mo2Cl2O8,3.0
Fe2Na2P2,3.0
Fe2O2,2.0
Fe2O4,3.0
Fe2P2S6,3.0
Fe2P2Se6,3.0
Fe2P2Te6,2.0
Fe2S2,2.25
Fe2S4,3.0
Fe2Se2,2.0
Fe2Se4,2.0
Fe2Sr2Ge2,2.0
Fe2Sr2Si2,3.0
Fe2Sr3Br2O5,3.0
Fe2Sr4Br2O6,3.0
Fe2Ta2Te6,3.0
Fe2Te2,1.8
Fe2Te4,2.0
Fe2Te6,1.0
Fe2W2Cl2O8,3.0
Fe3GeTe2,3.0
Fe3S4,2.0
Fe3Se4,3.0
Fe4S8,2.0
